GeoID,Sex,Cancer,Years,PopTot,Cases,AAIR,LCI,UCI,W_PopTot,W_Cases,W_AAIR,W_LCI,W_UCI,B_PopTot,B_Cases,B_AAIR,B_LCI,B_UCI,H_PopTot,H_Cases,H_AAIR,H_LCI,H_UCI,API_PopTot,API_Cases,API_AAIR,API_LCI,API_UCI,AIAN_PopTot,AIAN_Cases,AIAN_AAIR,AIAN_LCI,AIAN_UCI,GeoName,GeoType
34001,Both,AllSite,01yr,263670,1747,483.0,459.7,507.2,149746,1237,492.0,462.8,522.9,40389,250,538.2,471.8,611.5,51129,124,354.8,290.6,428.1,21747,69,253.6,194.9,325.8,659,,,,,Atlantic County,County
34003,Both,AllSite,01yr,932202,5685,462.7,450.4,475.3,520677,4088,507.7,491.2,524.7,54482,276,439.2,388.0,495.5,195997,627,376.4,346.3,408.4,159901,542,290.8,266.4,316.8,1145,,,,,Bergen County,County
34005,Both,AllSite,01yr,445349,2937,500.2,481.7,519.2,301146,2258,510.7,488.9,533.4,79594,402,445.9,402.4,492.9,38006,106,403.3,324.7,494.0,25522,87,317.7,253.7,393.3,1081,,,,,Burlington County,County
34007,Both,AllSite,01yr,506471,3115,501.6,483.7,520.0,287113,2155,512.9,490.4,536.3,98205,530,502.8,460.0,548.5,89046,244,395.3,344.6,451.0,30973,105,308.2,251.5,374.4,1134,,,,,Camden County,County
34009,Both,AllSite,01yr,92039,848,524.3,485.6,565.7,79048,768,506.2,466.0,549.6,4291,24,490.5,309.5,742.3,7452,20,482.7,282.0,759.8,1069,,,,,179,,,,,Cape May County,County
34011,Both,AllSite,01yr,149527,917,512.8,479.6,547.9,69064,604,528.4,484.7,575.7,29573,138,500.0,417.6,593.6,47569,152,460.3,386.2,543.5,2180,,,,,1141,,,,,Cumberland County,County
34013,Both,AllSite,01yr,798975,4042,450.9,436.9,465.3,245288,1679,472.9,449.5,497.3,314342,1475,435.3,412.9,458.6,190013,633,412.9,380.0,447.8,47327,126,251.1,208.5,300.1,2005,,,,,Essex County,County
34015,Both,AllSite,01yr,291636,1861,505.8,482.4,530.1,229709,1548,500.3,474.8,527.0,32250,164,446.4,378.9,522.8,19500,52,432.7,313.0,579.7,9633,28,283.1,184.4,416.2,544,,,,,Gloucester County,County
34017,Both,AllSite,01yr,672391,2780,408.6,393.4,424.4,199077,1057,471.5,442.8,501.7,74903,335,477.1,426.3,532.1,286981,1025,350.9,329.5,373.3,110018,278,296.1,261.0,334.7,1412,,,,,Hudson County,County
34019,Both,AllSite,01yr,124371,858,479.0,445.5,514.6,106379,776,474.8,439.4,512.8,3230,,,,,8694,29,481.6,308.4,710.8,5948,,,,,120,,,,,Hunterdon County,County
34021,Both,AllSite,01yr,367430,2223,498.8,477.8,520.5,180290,1465,520.0,492.2,549.2,74072,403,509.8,460.1,563.5,67824,182,395.1,334.8,462.5,44507,128,329.6,273.2,394.0,737,,,,,Mercer County,County
34023,Both,AllSite,01yr,825062,4649,464.1,450.6,477.9,349620,2984,524.4,504.3,545.2,84356,431,499.2,451.5,550.6,182108,559,396.0,362.0,432.0,207128,537,264.5,242.1,288.3,1850,,,,,Middlesex County,County
34025,Both,AllSite,01yr,618795,4565,540.5,524.2,557.1,468964,3832,549.0,530.7,567.8,44129,267,504.1,443.8,570.5,68930,223,442.2,382.6,508.0,35998,139,331.3,277.3,393.5,774,,,,,Monmouth County,County
34027,Both,AllSite,01yr,491845,3263,496.8,479.4,514.7,350752,2674,508.4,488.4,529.2,17561,95,507.1,406.6,625.2,68147,247,447.1,389.4,510.7,54819,177,304.0,260.2,353.2,566,,,,,Morris County,County
34029,Both,AllSite,01yr,607186,4996,546.0,529.9,562.5,515612,4532,547.2,529.9,565.0,20418,102,465.1,376.5,568.3,57818,168,378.4,322.0,441.3,12703,53,342.4,254.1,452.7,635,,,,,Ocean County,County
34031,Both,AllSite,01yr,501826,2634,451.9,434.4,469.8,205153,1540,499.2,473.1,526.6,52316,263,453.8,399.7,513.5,215329,662,359.9,332.2,389.2,28047,91,291.5,233.2,360.4,981,,,,,Passaic County,County
34033,Both,AllSite,01yr,62385,421,494.4,446.3,546.6,46391,348,495.0,441.5,554.0,8927,49,470.0,342.3,631.0,6088,,,,,754,,,,,225,,,,,Salem County,County
